Lucifer每次练习超过30个小时 
　　来源：Fragster　　翻译：太平洋游戏网·轮轮
　　亡灵传奇选手Lucifer服完兵役之后打算复出。国外电竞媒体Fragster对他进行了采访。采访中，Lucifer表示他现在的薪水仅仅是以前在MYM战队时的十分之一。
　　Q：你好Lucifer，你终于复出了。你有多喜欢魔兽争霸3呢？　　Lucifer：我在部队中没想过这些。当我有假期时，我就很想玩。我玩的不如以前了，这让我有点失望。
　　Q：考虑到你以前和现在的状态，你要多久能恢复到以前的实力？　　Lucifer：将会很久。我需要提高实力。其他选手的水平大概也在进步，所以我需要更多的时间来超过他们。
　　Q：亡灵是现在最弱的种族，亡灵选手在大赛中几乎不可能拿到冠军。你想过换族吗？　　Lucifer：没有，亡灵族不错。
　　Q：现在大型比赛减少了，你觉得你会重返巅峰吗？　　Lucifer：是的，我在努力训练，会有成果的。
　　Q：你为什么回归魔兽呢？　　Lucifer：我想再次成为职业玩家。
　　Q：你加入了Tyloo的魔兽分队。你的目标是？　　Lucifer：首先是CEPL上获胜。第二是获得一些个人奖项。
　　Q：你觉得Tyloo里面谁最厉害？为什么呢？　　Lucifer：Infi和TH000都很厉害。他们队伍里是最强的。
　　Q：他们为什么会成为最佳选手呢？　　Lucifer：可能是他们一直坚持训练，以及他们粉丝的支持吧。
　　Q：你跟Sweet一起在VS训练。他也会重返巅峰吗？　　Lucifer：我还没跟他玩过。Sweet说他不会再成为职业玩家。我也不知道为什么，我要问下他才清楚。
　　Q：现在韩国职业玩家都转型星际2了。你玩星际2吗？　　Lucifer：我在练习星际2。我可能会转型。
　　Q：好吧，你最近在忙些什么？　　Lucifer：除了睡觉就是练习。我一次练习30小时，然后睡得跟尸体一样。
　　Q：练30小时是非常困难的。你以前也那样做吗?　　Lucifer：是的。
　　Q：与在MYM相比，你的薪水变化了吗？　　Lucifer：我不能确切的说，但是我现在的工资相当于MYM时的十分之一。我很理解，并且对这份工资很满意。与钱相比，名誉才是最重要的。
　　Q：你最想念以前哪位队友？　　Lucifer：他们所有人我都想念，包括Susiria、Eve、Moon、Grubby和SocceR。
　　Q：在服兵役期间，你的人生观变化了吗？　　Lucifer：我有了更强的耐力、体力。我学会了战斗。我学会了在艰苦环境中生存。
　　Q：你觉得魔兽争霸发展怎样？现在的比赛变少了，而且都是小型比赛。　　Lucifer：这很糟糕，但我认为仍然有希望，魔兽争霸会坚持下去。
　　Q：寻找新战队困难吗？　　Lucifer：很困难，但Tyloo接受了我。我将尽全力，不会让大家失望。
　　Q：你为什么对魔兽争霸情有独钟？　　Lucifer：因为有英雄的存在。
　　Q：非常感谢Lucifer接受我们的采访。　　Lucifer：不用谢。

